                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,
43,1.555,1.3524,1.1061,0.47396,0.37281,0.38187,0.22515,1.4529,1.2318,1.0878,0.009244,0.009244,0.009244,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.432
44,1.557,1.3546,1.1106,0.48351,0.37016,0.38193,0.22622,1.4476,1.2296,1.0863,0.009226,0.009226,0.009226,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.421
45,1.5549,1.344,1.1097,0.47553,0.37144,0.38034,0.22552,1.4471,1.2284,1.0844,0.009208,0.009208,0.009208,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.557
46,1.5527,1.3458,1.1072,0.47253,0.37922,0.38357,0.22739,1.4414,1.222,1.0829,0.00919,0.00919,0.00919,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.550
47,1.5449,1.3304,1.1041,0.48297,0.37033,0.38461,0.22734,1.4435,1.2218,1.0826,0.009172,0.009172,0.009172,,,,,,
48,1.5364,1.3264,1.0994,0.48343,0.37269,0.3871,0.22935,1.4411,1.2185,1.0805,0.009154,0.009154,0.009154,,,,,,
49,1.5483,1.3348,1.0989,0.48587,0.38272,0.39098,0.23107,1.4346,1.2096,1.0798,0.009136,0.009136,0.009136,,,,,,
50,1.5445,1.3291,1.0998,0.48633,0.37212,0.3874,0.22984,1.4358,1.2119,1.0789,0.009118,0.009118,0.009118,,,,,,
51,1.5452,1.325,1.0994,0.49257,0.38558,0.39696,0.23466,1.435,1.2025,1.0766,0.0091,0.0091,0.0091,,,,,,
52,1.532,1.3223,1.098,0.48699,0.37861,0.39452,0.23412,1.4358,1.2047,1.0774,0.009082,0.009082,0.009082,,,,,,
53,1.5343,1.3127,1.0961,0.48204,0.3881,0.39585,0.23599,1.4317,1.2026,1.0752,0.009064,0.009064,0.009064,,,,,,
54,1.5384,1.3193,1.0972,0.48793,0.3834,0.39522,0.23572,1.4254,1.1979,1.0728,0.009046,0.009046,0.009046,,,,,,
55,1.5305,1.3134,1.0958,0.49756,0.38742,0.39713,0.23558,1.4282,1.1966,1.0733,0.009028,0.009028,0.009028,,,,,,
56,1.5293,1.3087,1.0936,0.49114,0.3816,0.39734,0.23608,1.4294,1.1942,1.0738,0.00901,0.00901,0.00901,,,,,,
57,1.5335,1.2975,1.0887,0.50214,0.38627,0.40018,0.23843,1.4254,1.1898,1.071,0.008992,0.008992,0.008992,,,,,,
58,1.5242,1.3024,1.0938,0.50064,0.38893,0.40093,0.23773,1.4274,1.1885,1.0725,0.008974,0.008974,0.008974,,,,,,
59,1.5243,1.2941,1.0935,0.48981,0.39033,0.39995,0.23746,1.4227,1.1843,1.0698,0.008956,0.008956,0.008956,,,,,,
60,1.5245,1.2971,1.089,0.49257,0.39287,0.4008,0.23861,1.4222,1.1862,1.07,0.008938,0.008938,0.008938,,,,,,
61,1.5249,1.2992,1.087,0.48801,0.39875,0.40479,0.24022,1.4219,1.1819,1.0689,0.00892,0.00892,0.00892,,,,,,
62,1.517,1.2938,1.0904,0.50002,0.39248,0.40364,0.24102,1.4158,1.1795,1.0676,0.008902,0.008902,0.008902,,,,,,
63,1.5225,1.2883,1.0864,0.50809,0.38792,0.40591,0.24324,1.4193,1.1807,1.0678,0.008884,0.008884,0.008884,,,,,,
