                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,
87,1.3549,1.0002,1.0814,0.56892,0.46814,0.49376,0.30067,1.3228,1.0117,1.0924,0.0082972,0.0082972,0.0082972,,,,,
88,1.3626,1.0131,1.0851,0.56594,0.47313,0.49565,0.30143,1.3225,1.01,1.0918,0.0082774,0.0082774,0.0082774,,,,,
89,1.3682,1.015,1.0905,0.56866,0.47005,0.49544,0.30139,1.323,1.0112,1.0926,0.0082576,0.0082576,0.0082576,,,,,
90,1.362,1.0091,1.0845,0.56591,0.4749,0.49598,0.30127,1.3223,1.0085,1.0922,0.0082378,0.0082378,0.0082378,,,,,
91,1.3517,0.99781,1.0838,0.57231,0.47127,0.49502,0.30045,1.3224,1.0065,1.0922,0.008218,0.008218,0.008218,,,,,
92,1.3715,1.0121,1.0921,0.5736,0.47258,0.49457,0.30022,1.3221,1.0058,1.0924,0.0081982,0.0081982,0.0081982,,,,,
93,1.3576,0.99981,1.0844,0.56755,0.47523,0.4964,0.3022,1.3207,1.004,1.0912,0.0081784,0.0081784,0.0081784,,,,,
94,1.3654,1.0081,1.0879,0.57177,0.47781,0.49719,0.3028,1.32,1.0031,1.0906,0.0081586,0.0081586,0.0081586,,,,,
95,1.3416,0.99654,1.0892,0.57198,0.47323,0.49812,0.30323,1.3193,1.0025,1.0896,0.0081388,0.0081388,0.0081388,,,,,
96,1.3623,1.0036,1.086,0.57464,0.47422,0.498,0.30348,1.3184,1.0008,1.0898,0.008119,0.008119,0.008119,,,,,
97,1.3604,0.99701,1.0832,0.57908,0.47176,0.49709,0.30227,1.3178,1.0001,1.0893,0.0080992,0.0080992,0.0080992,,,,,
98,1.3463,0.99227,1.0852,0.57891,0.4743,0.49881,0.30397,1.3172,0.9989,1.089,0.0080794,0.0080794,0.0080794,,,,,
99,1.3601,1.0024,1.0836,0.57971,0.47326,0.49999,0.3036,1.3174,0.99832,1.089,0.0080596,0.0080596,0.0080596,,,,,
100,1.3462,0.98248,1.0817,0.5772,0.47635,0.49989,0.30387,1.3174,0.99827,1.0893,0.0080398,0.0080398,0.0080398,,,,,
101,1.3482,0.9933,1.0826,0.57541,0.47484,0.50043,0.30435,1.3168,0.99803,1.0886,0.00802,0.00802,0.00802,,,,,
102,1.3477,0.98572,1.0802,0.58107,0.47375,0.50194,0.30577,1.3157,0.99697,1.0879,0.0080002,0.0080002,0.0080002,,,,,
103,1.3558,0.99404,1.089,0.58101,0.47539,0.50301,0.3061,1.3147,0.99567,1.0873,0.0079804,0.0079804,0.0079804,,,,,
104,1.3504,0.99077,1.0769,0.58071,0.4756,0.50333,0.3062,1.313,0.99465,1.0864,0.0079606,0.0079606,0.0079606,,,,,
105,1.3464,0.98413,1.0804,0.57687,0.47732,0.50356,0.30693,1.3123,0.99378,1.0862,0.0079408,0.0079408,0.0079408,,,,,
106,1.3456,0.97781,1.0815,0.57724,0.47869,0.50401,0.30735,1.3123,0.9932,1.0862,0.007921,0.007921,0.007921,,,,,
107,1.3552,0.98437,1.0801,0.58512,0.47542,0.50387,0.30689,1.3115,0.9916,1.0857,0.0079012,0.0079012,0.0079012,,,,,
108,1.3336,0.97477,1.076,0.58243,0.47622,0.50367,0.30633,1.3114,0.99109,1.0856,0.0078814,0.0078814,0.0078814,,,,,
109,1.3471,0.97926,1.0783,0.58109,0.47994,0.50423,0.30645,1.3116,0.9901,1.086,0.0078616,0.0078616,0.0078616,,,,,
110,1.3385,0.97045,1.0839,0.58168,0.48024,0.50553,0.30754,1.3117,0.99013,1.0859,0.0078418,0.0078418,0.0078418,,,,,
111,1.3374,0.97079,1.0784,0.58763,0.47689,0.50551,0.30741,1.311,0.98954,1.0858,0.007822,0.007822,0.007822,,,,,
