                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,,,
41,2.0565,1.3574,1.0967,0.53591,0.48285,0.46948,0.19255,2.0384,1.3366,1.1149,0.00928,0.00928,0.00928,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.236,,
42,2.0744,1.3773,1.0984,0.54476,0.46023,0.48399,0.19821,2.035,1.3326,1.1164,0.009262,0.009262,0.009262,,,,,, Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.542,,
43,2.0597,1.3704,1.0941,0.56658,0.4963,0.49611,0.19916,2.033,1.3279,1.1164,0.009244,0.009244,0.009244,,,,,, Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.166,,
44,2.0611,1.3699,1.1004,0.52808,0.48726,0.49339,0.1997,2.0277,1.3224,1.1153,0.009226,0.009226,0.009226,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= vtiny | maxDets=100 ] = 0.104,,
45,2.0593,1.3667,1.0984,0.57597,0.48157,0.48683,0.19854,2.0274,1.3183,1.1156,0.009208,0.009208,0.009208,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=  tiny | maxDets=100 ] = 0.228,,
46,2.0508,1.3362,1.0949,0.58099,0.4677,0.48549,0.1997,2.0306,1.3175,1.1156,0.00919,0.00919,0.00919,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.303,,
47,2.0509,1.3306,1.092,0.57536,0.47764,0.48777,0.19742,2.0316,1.3199,1.1146,0.009172,0.009172,0.009172,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.376,,
48,2.0568,1.3452,1.0948,0.53094,0.5045,0.49199,0.20066,2.0311,1.3122,1.1145,0.009154,0.009154,0.009154,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = -1.000,,
49,2.0421,1.3321,1.0924,0.54353,0.49341,0.48889,0.1981,2.0259,1.3115,1.1127,0.009136,0.009136,0.009136,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ] = 0.070,,
50,2.0502,1.3404,1.1014,0.54449,0.49248,0.4896,0.19657,2.0267,1.3106,1.1124,0.009118,0.009118,0.009118,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.234,,
51,2.0521,1.3265,1.0926,0.54159,0.50188,0.48875,0.19856,2.0243,1.3045,1.1126,0.0091,0.0091,0.0091,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.394,,
52,2.0628,1.3442,1.0945,0.54734,0.51385,0.49815,0.20068,2.0229,1.3021,1.1126,0.009082,0.009082,0.009082,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.442,,
53,2.0549,1.3348,1.0894,0.53099,0.51314,0.49274,0.19819,2.0199,1.2988,1.1123,0.009064,0.009064,0.009064,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.477,,
54,2.0391,1.3188,1.0863,0.54219,0.51256,0.49868,0.1992,2.0172,1.297,1.1109,0.009046,0.009046,0.009046,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = -1.000,,
55,2.0328,1.3191,1.0899,0.55299,0.51842,0.50485,0.19956,2.018,1.2963,1.1111,0.009028,0.009028,0.009028,,,,,,,,
56,2.0498,1.3191,1.0897,0.56286,0.51549,0.50152,0.20069,2.0206,1.2951,1.1111,0.00901,0.00901,0.00901,,,,,,,,
57,2.0424,1.3178,1.0879,0.56675,0.50736,0.50272,0.20143,2.0208,1.2945,1.1111,0.008992,0.008992,0.008992,,,,,,,,
58,2.0395,1.306,1.0858,0.55535,0.51256,0.49956,0.20204,2.0206,1.2929,1.1103,0.008974,0.008974,0.008974,,,,,,,,
59,2.0436,1.3246,1.091,0.57268,0.50247,0.49675,0.20248,2.0211,1.293,1.1099,0.008956,0.008956,0.008956,,,,,,,,
60,2.0378,1.3012,1.0845,0.57995,0.47703,0.4983,0.20306,2.0188,1.292,1.109,0.008938,0.008938,0.008938,,,,,,,,
61,2.0468,1.3111,1.0865,0.56838,0.48992,0.49598,0.20292,2.0166,1.2904,1.1086,0.00892,0.00892,0.00892,,,,,,,,
62,2.024,1.297,1.0852,0.57073,0.494,0.49318,0.2021,2.0171,1.2899,1.1088,0.008902,0.008902,0.008902,,,,,,,,
63,2.0332,1.2898,1.0882,0.56764,0.49026,0.49529,0.2018,2.017,1.2867,1.1087,0.008884,0.008884,0.008884,,,,,,,,
64,2.038,1.3048,1.0894,0.56696,0.51248,0.50519,0.20235,2.0181,1.2841,1.1087,0.008866,0.008866,0.008866,,,,,,,,
65,2.0323,1.3048,1.0888,0.57094,0.51108,0.5023,0.20175,2.0166,1.2822,1.1086,0.008848,0.008848,0.008848,,,,,,,,
66,2.0348,1.3044,1.088,0.57883,0.51832,0.51019,0.20376,2.0175,1.2808,1.1085,0.00883,0.00883,0.00883,,,,,,,,
67,2.0274,1.2838,1.0835,0.58859,0.51679,0.50937,0.20282,2.0172,1.2791,1.1085,0.008812,0.008812,0.008812,,,,,,,,
68,2.0267,1.2993,1.0861,0.58696,0.51944,0.50969,0.20366,2.017,1.278,1.1082,0.008794,0.008794,0.008794,,,,,,,,
69,2.0294,1.2905,1.0859,0.58927,0.51408,0.51164,0.20585,2.015,1.2759,1.1079,0.008776,0.008776,0.008776,,,,,,,,
70,2.0289,1.2927,1.0823,0.58656,0.51937,0.51123,0.20624,2.014,1.2755,1.1079,0.008758,0.008758,0.008758,,,,,,,,
71,2.0154,1.2776,1.0805,0.58979,0.52039,0.51411,0.20661,2.0132,1.2731,1.1078,0.00874,0.00874,0.00874,,,,,,,,
72,2.0292,1.292,1.0861,0.58968,0.51736,0.51094,0.20902,2.0125,1.2719,1.1077,0.008722,0.008722,0.008722,,,,,,,,
73,2.0318,1.2791,1.0867,0.59,0.52577,0.50996,0.20749,2.0138,1.2713,1.1078,0.008704,0.008704,0.008704,,,,,,,,
74,2.0196,1.2816,1.0849,0.5845,0.52137,0.50947,0.20763,2.0138,1.2708,1.108,0.008686,0.008686,0.008686,,,,,,,,
75,2.0282,1.2868,1.0833,0.58368,0.51553,0.50841,0.20716,2.013,1.2693,1.1079,0.008668,0.008668,0.008668,,,,,,,,
76,2.0257,1.2789,1.081,0.58932,0.50862,0.50615,0.20704,2.0129,1.2692,1.1079,0.00865,0.00865,0.00865,,,,,,,,
77,2.0291,1.2848,1.0859,0.59096,0.50873,0.50638,0.20743,2.0121,1.268,1.108,0.008632,0.008632,0.008632,,,,,,,,
78,2.0285,1.2817,1.082,0.59259,0.51134,0.50495,0.20751,2.0112,1.2675,1.1078,0.008614,0.008614,0.008614,,,,,,,,
79,2.0085,1.272,1.0793,0.57699,0.52258,0.50709,0.20735,2.0113,1.2666,1.1076,0.008596,0.008596,0.008596,,,,,,,,
80,2.0208,1.2737,1.0812,0.57687,0.5176,0.50625,0.20779,2.011,1.2663,1.1076,0.008578,0.008578,0.008578,,,,,,,,
81,2.0201,1.2743,1.0836,0.57034,0.51647,0.51007,0.20818,2.0109,1.2645,1.1074,0.00856,0.00856,0.00856,,,,,,,,
82,2.0168,1.2629,1.0827,0.56787,0.52606,0.51155,0.20824,2.0095,1.2635,1.1069,0.008542,0.008542,0.008542,,,,,,,,
83,2.0243,1.2808,1.0866,0.56739,0.52136,0.51151,0.20753,2.0088,1.2626,1.1067,0.008524,0.008524,0.008524,,,,,,,,
84,2.011,1.2637,1.08,0.56791,0.52322,0.51455,0.20883,2.0089,1.2616,1.1067,0.008506,0.008506,0.008506,,,,,,,,
85,2.0116,1.2713,1.0828,0.57154,0.52341,0.51282,0.20804,2.0079,1.261,1.1064,0.008488,0.008488,0.008488,,,,,,,,
86,2.0256,1.2609,1.085,0.55549,0.53099,0.51328,0.2084,2.0074,1.26,1.1065,0.00847,0.00847,0.00847,,,,,,,,
87,2.0067,1.2571,1.0799,0.5621,0.53532,0.51282,0.20815,2.007,1.2591,1.1061,0.008452,0.008452,0.008452,,,,,,,,
88,2.0165,1.2658,1.0848,0.5608,0.53252,0.5146,0.20836,2.0059,1.2581,1.1059,0.008434,0.008434,0.008434,,,,,,,,
89,2.0139,1.2525,1.0826,0.56928,0.52762,0.5155,0.20911,2.0052,1.2577,1.1057,0.008416,0.008416,0.008416,,,,,,,,
90,2.0083,1.2777,1.0803,0.56974,0.53421,0.52453,0.21006,2.0052,1.2578,1.1058,0.008398,0.008398,0.008398,,,,,,,,
91,2.0098,1.2577,1.0796,0.56883,0.54097,0.52263,0.20993,2.0044,1.2569,1.1057,0.00838,0.00838,0.00838,,,,,,,,
92,2.0077,1.2561,1.0773,0.57565,0.5309,0.52211,0.20989,2.0028,1.2567,1.1054,0.008362,0.008362,0.008362,,,,,,,,
93,2.0118,1.253,1.0812,0.58026,0.53015,0.52467,0.21094,2.0026,1.2558,1.1053,0.008344,0.008344,0.008344,,,,,,,,
94,2.0159,1.2525,1.0781,0.58195,0.52483,0.52608,0.21113,2.0024,1.2556,1.1053,0.008326,0.008326,0.008326,,,,,,,,
95,2.0124,1.2698,1.0782,0.57869,0.53123,0.52567,0.21143,2.0016,1.2541,1.105,0.008308,0.008308,0.008308,,,,,,,,
96,2.0053,1.2665,1.0814,0.57459,0.5384,0.52754,0.212,2.0013,1.2535,1.1052,0.00829,0.00829,0.00829,,,,,,,,
97,2.0039,1.2544,1.0795,0.57809,0.54132,0.53,0.21143,2,1.2531,1.1049,0.008272,0.008272,0.008272,,,,,,,,
98,2.0026,1.243,1.0812,0.57764,0.53565,0.5299,0.21216,1.9996,1.2529,1.105,0.008254,0.008254,0.008254,,,,,,,,
99,2.0135,1.2513,1.0753,0.57438,0.54246,0.53105,0.21223,1.9998,1.252,1.105,0.008236,0.008236,0.008236,,,,,,,,
100,1.9977,1.2347,1.0772,0.57239,0.54844,0.53263,0.21271,1.9991,1.2514,1.1047,0.008218,0.008218,0.008218,,,,,,,,
101,2.0086,1.2518,1.0784,0.57433,0.54982,0.53364,0.21298,1.9983,1.2515,1.1045,0.0082,0.0082,0.0082,,,,,,,,
102,2.0158,1.2428,1.0771,0.57677,0.54262,0.5328,0.21291,1.9983,1.251,1.1044,0.008182,0.008182,0.008182,,,,,,,,
103,2.0087,1.2478,1.0836,0.57718,0.54532,0.53303,0.21338,1.9972,1.2497,1.1042,0.008164,0.008164,0.008164,,,,,,,,
104,1.9969,1.2412,1.0769,0.58176,0.53916,0.53226,0.21374,1.9974,1.2493,1.1043,0.008146,0.008146,0.008146,,,,,,,,
105,1.9933,1.2603,1.0839,0.58031,0.54103,0.53266,0.21456,1.9976,1.2482,1.104,0.008128,0.008128,0.008128,,,,,,,,
106,2.008,1.2402,1.0754,0.58532,0.53963,0.53442,0.21478,1.9966,1.2469,1.1036,0.00811,0.00811,0.00811,,,,,,,,
107,2.0077,1.2369,1.0754,0.59109,0.53669,0.5355,0.21532,1.9964,1.2469,1.1036,0.008092,0.008092,0.008092,,,,,,,,
108,1.9999,1.2513,1.0761,0.59445,0.53483,0.53493,0.21544,1.9967,1.2466,1.1038,0.008074,0.008074,0.008074,,,,,,,,
109,1.9968,1.2229,1.0798,0.59346,0.53061,0.53493,0.21594,1.9958,1.2459,1.1032,0.008056,0.008056,0.008056,,,,,,,,
110,1.9939,1.2307,1.0761,0.60169,0.52775,0.53719,0.21527,1.9957,1.2453,1.1032,0.008038,0.008038,0.008038,,,,,,,,
111,1.9925,1.2223,1.0739,0.60255,0.52824,0.53745,0.21521,1.9956,1.2451,1.103,0.00802,0.00802,0.00802,,,,,,,,
112,2.0019,1.2271,1.0758,0.61234,0.52936,0.54013,0.21565,1.9949,1.244,1.1028,0.008002,0.008002,0.008002,,,,,,,,
113,1.9926,1.2355,1.0783,0.60897,0.52915,0.5407,0.21598,1.9947,1.2439,1.1027,0.007984,0.007984,0.007984,,,,,,,,
114,2.0021,1.2323,1.0803,0.61611,0.52818,0.54096,0.21601,1.9942,1.243,1.1026,0.007966,0.007966,0.007966,,,,,,,,
115,2.0043,1.2412,1.0789,0.61141,0.52609,0.54126,0.21675,1.994,1.2423,1.1025,0.007948,0.007948,0.007948,,,,,,,,
116,1.9897,1.2365,1.0777,0.61039,0.52605,0.53809,0.21584,1.9938,1.2415,1.1024,0.00793,0.00793,0.00793,,,,,,,,
117,1.983,1.2308,1.0762,0.613,0.52025,0.53687,0.21605,1.9929,1.2416,1.1022,0.007912,0.007912,0.007912,,,,,,,,
118,1.9971,1.2411,1.0779,0.61182,0.5209,0.5374,0.21729,1.9925,1.2414,1.1019,0.007894,0.007894,0.007894,,,,,,,,
119,1.9994,1.2355,1.0754,0.61301,0.52027,0.53801,0.2172,1.9925,1.2414,1.1017,0.007876,0.007876,0.007876,,,,,,,,
120,1.9962,1.2163,1.0723,0.61465,0.52082,0.53798,0.21746,1.9923,1.2403,1.1017,0.007858,0.007858,0.007858,,,,,,,,
121,2.0011,1.2314,1.0737,0.6123,0.52093,0.53817,0.21712,1.9907,1.239,1.1015,0.00784,0.00784,0.00784,,,,,,,,
122,2.0046,1.2281,1.0752,0.61383,0.5234,0.53932,0.21818,1.9905,1.2386,1.1015,0.007822,0.007822,0.007822,,,,,,,,
123,2.0018,1.2296,1.0783,0.6084,0.52711,0.53951,0.21858,1.9895,1.2378,1.1012,0.007804,0.007804,0.007804,,,,,,,,
124,1.9891,1.2346,1.0784,0.61061,0.5335,0.54132,0.21906,1.9895,1.2366,1.1011,0.007786,0.007786,0.007786,,,,,,,,
125,1.9935,1.2201,1.076,0.60747,0.53343,0.54221,0.21894,1.9893,1.2363,1.1011,0.007768,0.007768,0.007768,,,,,,,,
126,1.9944,1.2271,1.072,0.60515,0.53473,0.54232,0.21899,1.9893,1.235,1.1009,0.00775,0.00775,0.00775,,,,,,,,
127,2.0012,1.2206,1.0742,0.60128,0.53876,0.54307,0.2208,1.9891,1.2335,1.1009,0.007732,0.007732,0.007732,,,,,,,,
128,1.9782,1.2215,1.0726,0.60694,0.54495,0.54788,0.22134,1.9883,1.2339,1.1008,0.007714,0.007714,0.007714,,,,,,,,
129,1.9947,1.2121,1.0746,0.60372,0.55232,0.54848,0.2215,1.9887,1.2327,1.1007,0.007696,0.007696,0.007696,,,,,,,,
130,1.9889,1.2142,1.0684,0.60364,0.55274,0.55039,0.22205,1.9882,1.2323,1.1007,0.007678,0.007678,0.007678,,,,,,,,
131,1.9938,1.2328,1.0786,0.59559,0.55413,0.55198,0.22262,1.9878,1.2315,1.1006,0.00766,0.00766,0.00766,,,,,,,,
132,1.9812,1.2127,1.0741,0.5926,0.5574,0.55226,0.22385,1.9877,1.2297,1.1006,0.007642,0.007642,0.007642,,,,,,,,
133,1.9949,1.2219,1.0749,0.59581,0.55496,0.55168,0.22361,1.9871,1.2291,1.1003,0.007624,0.007624,0.007624,,,,,,,,
134,1.9884,1.2218,1.0787,0.59341,0.55181,0.54947,0.22301,1.9861,1.2275,1.0999,0.007606,0.007606,0.007606,,,,,,,,
135,1.9886,1.2155,1.0718,0.59708,0.55283,0.55434,0.22348,1.9863,1.2269,1.0999,0.007588,0.007588,0.007588,,,,,,,,
136,1.9842,1.2061,1.0711,0.59555,0.55083,0.55259,0.22343,1.986,1.2261,1.0997,0.00757,0.00757,0.00757,,,,,,,,
137,1.9902,1.2102,1.0748,0.59821,0.55109,0.55062,0.22346,1.9855,1.2252,1.0998,0.007552,0.007552,0.007552,,,,,,,,
138,1.981,1.21,1.0702,0.59674,0.54933,0.54904,0.22303,1.9842,1.225,1.0995,0.007534,0.007534,0.007534,,,,,,,,
139,1.9906,1.2046,1.0742,0.60656,0.55049,0.55299,0.22402,1.9835,1.2238,1.0994,0.007516,0.007516,0.007516,,,,,,,,
140,1.9909,1.2171,1.072,0.60371,0.55214,0.55213,0.2237,1.9837,1.2229,1.0991,0.007498,0.007498,0.007498,,,,,,,,
141,1.9894,1.1965,1.0703,0.60732,0.54893,0.55102,0.22391,1.9834,1.2227,1.0991,0.00748,0.00748,0.00748,,,,,,,,
142,1.9882,1.2207,1.0746,0.60637,0.55024,0.55133,0.22417,1.983,1.2225,1.0989,0.007462,0.007462,0.007462,,,,,,,,
143,1.9889,1.2196,1.0701,0.60257,0.55248,0.552,0.22439,1.9825,1.2219,1.0988,0.007444,0.007444,0.007444,,,,,,,,
144,1.9924,1.2154,1.0801,0.60209,0.5522,0.55234,0.22492,1.9823,1.2217,1.0987,0.007426,0.007426,0.007426,,,,,,,,
145,1.9931,1.2165,1.0751,0.59902,0.55341,0.55167,0.22453,1.9821,1.2211,1.0985,0.007408,0.007408,0.007408,,,,,,,,
146,1.9918,1.2096,1.0729,0.60403,0.55298,0.55366,0.22502,1.9819,1.2204,1.0986,0.00739,0.00739,0.00739,,,,,,,,
147,1.9912,1.2124,1.0722,0.60312,0.5527,0.55315,0.22505,1.9815,1.2199,1.0985,0.007372,0.007372,0.007372,,,,,,,,
148,1.9793,1.2096,1.069,0.60864,0.55607,0.55951,0.22566,1.9808,1.2193,1.0983,0.007354,0.007354,0.007354,,,,,,,,
149,1.9861,1.2049,1.0734,0.61198,0.55734,0.56027,0.22663,1.9803,1.2194,1.0981,0.007336,0.007336,0.007336,,,,,,,,
150,1.9752,1.206,1.0732,0.6095,0.55595,0.55465,0.22595,1.9805,1.2182,1.0978,0.007318,0.007318,0.007318,,,,,,,,
151,1.98,1.2068,1.0698,0.61512,0.55162,0.55564,0.2262,1.9798,1.2165,1.0976,0.0073,0.0073,0.0073,,,,,,,,
152,1.9727,1.1967,1.0659,0.61086,0.55112,0.5542,0.22608,1.9798,1.2165,1.0976,0.007282,0.007282,0.007282,,,,,,,,
153,1.9874,1.1986,1.0699,0.61054,0.55163,0.55438,0.22567,1.9796,1.2164,1.0976,0.007264,0.007264,0.007264,,,,,,,,
154,1.9859,1.2029,1.0744,0.61353,0.55685,0.55838,0.22677,1.9793,1.2164,1.0974,0.007246,0.007246,0.007246,,,,,,,,
155,1.9869,1.2059,1.0692,0.61293,0.5519,0.55554,0.22663,1.9785,1.2156,1.0973,0.007228,0.007228,0.007228,,,,,,,,
156,1.9981,1.2003,1.0704,0.6097,0.55256,0.55587,0.22704,1.9777,1.2143,1.0969,0.00721,0.00721,0.00721,,,,,,,,
157,1.9829,1.2038,1.0712,0.60406,0.55147,0.55723,0.22742,1.9776,1.2133,1.0969,0.007192,0.007192,0.007192,,,,,,,,
158,1.9889,1.2084,1.0758,0.61064,0.55393,0.55694,0.22771,1.9773,1.2133,1.0966,0.007174,0.007174,0.007174,,,,,,,,
159,1.986,1.2107,1.0706,0.61182,0.55329,0.55994,0.22746,1.9777,1.2131,1.0967,0.007156,0.007156,0.007156,,,,,,,,
160,1.9755,1.2041,1.0729,0.60254,0.56129,0.55988,0.22779,1.9774,1.2112,1.0966,0.007138,0.007138,0.007138,,,,,,,,
